"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","179.683","447.374","612.389","649.059","1639.149","1683.153","1463.133","1595.145","1613.48","1668.485","1690.487","1745.492","1796.83","1807.831","2379.883","2409.219","2438.555","2563.233","2618.238","2720.914","2717.247","2823.59","2658.575","2629.239","2508.228","2500.894","1349.456","861.745","872.746","","","","",
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","414.371","491.378","689.396","707.731","839.743","1008.425","1092.766","1283.45","1224.778","942.419","1672.152","1895.839","1532.806","1639.149","1917.841","2126.86","1987.514","2390.884","2159.863","2240.537","1760.16","1983.847","2101.191","2522.896","2830.924","3509.319","3142.619","3124.284","2867.594","2775.919","2614.571","2438.555","1393.46","1345.789","1294.451","1243.113","1177.107","1096.433","1041.428","821.408","773.737","817.741","1070.764","1195.442","949.753","1327.454","1650.15","2273.54","4206.049","6769.282","8463.436","12240.446","10755.311","10014.577","9809.225","","","","",
"Angola","AGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","550.05","454.708","1180.774","1151.438","1224.778","1188.108","1554.808","993.757","1672.152","2786.92","3582.659","3410.31","4506.743","4880.777","4873.443","4415.068","3285.632","3534.988","5412.492","5504.167","5346.486","5280.48","4649.756","5115.465","5009.122","4701.094","4660.757","5815.862","5130.133","5009.122","5115.465","5089.796","5196.139","5775.525","3890.687","10975.331","10458.284","7381.671","7308.331","9156.499","9541.534","9732.218","12665.818","9064.824","18793.375","19156.408","22266.024","25151.953","25709.337","27792.193","29057.308","30340.758","33399.036","32617.965","34763.16","","","","",
"Albania","ALB","CO2 emissions (kt)","EN.ATM.CO2E.KT","2024.184","2280.874","2464.224","2082.856","2016.85","2174.531","2552.232","2680.577","3072.946","3245.295","3744.007","4352.729","5643.513","5291.481","4345.395","4594.751","4950.45","5720.52","6494.257","7587.023","5170.47","7341.334","7308.331","7631.027","7825.378","7880.383","8056.399","7444.01","7326.666","8984.15","5515.168","4286.723","2515.562","2335.879","1925.175","2086.523","2016.85","1543.807","1752.826","2984.938","3021.608","3223.293","3751.341","4294.057","4165.712","4253.72","3898.021","3927.357","4374.731","4378.398","4598.418","5240.143","4910.113","5064.127","5716.853","","","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407.037","407.037","407.037","410.704","407.037","425.372","454.708","465.709","491.378","513.38","524.381","524.381","531.715","535.382","561.051","575.719","546.383","539.049","539.049","517.047","517.047","491.378","487.711","476.71","462.042","","","","",
"Arab World","ARB","CO2 emissions (kt)","EN.ATM.CO2E.KT","59535.3965668244","65119.8211677554","74322.0136113395","87853.7862317295","103146.744008786","123768.755322085","139012.387595124","149659.083348761","178719.206389615","213029.302422699","220469.515719865","250795.355519852","272741.783499954","318446.999109467","310771.986181621","307638.878609738","373316.73780395","395094.403549501","425706.405399379","455940.526593631","508535.643865904","497257.924104816","476720.293908793","508407.237817876","554637.08385219","586804.633255321","648157.043003105","649426.428506467","688300.44236089","699383.718677822","671736.062165277","740323.235533382","795658.904744996","877890.137902134","901869.050185308","866641.76809488","862033.825342789","833006.721","906420.061","919932.956","1045762.394","1040650.596","1062153.884","1143168.915","1252559.192","1318345.172","1381941.953","1359855.612","1491970.288","1581327.744","1645558.916","1655808.181","1796962.012","1775095.691","1895700.3207852","","","","",
"United Arab Emirates","ARE","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","18.335","22.002","18.335","22.002","25.669","916.75","1243.113","20524.199","15247.386","21184.259","23454.132","30630.451","31327.181","31070.491","39651.271","38785.859","44814.407","36607.661","36904.688","36857.017","36871.685","35342.546","46394.884","49926.205","47234.627","47693.002","48367.73","54487.953","52009.061","57010.849","58136.618","65980.331","73130.981","70641.088","41059.399","41646.119","81495.408","78374.791","112562.232","101414.552","84704.033","106841.712","113240.627","116148.558","123874.927","135627.662","157354.637","167959.601","160812.618","165440.372","176386.367","170706.184","211369.547","","","","",
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","48815.104","51180.319","53695.881","50083.886","55727.399","58866.351","63138.406","65543.958","69082.613","77329.696","82734.854","88939.418","90156.862","94065.884","95569.354","94931.296","99786.404","100791.162","102639.33","110703.063","108737.551","102041.609","103424.068","105213.564","106522.683","100596.811","104212.473","114942.115","121473.042","117090.977","112147.861","117098.311","121352.031","117927.053","122408.127","127963.632","135000.605","138003.878","139815.376","146984.361","142136.587","133720.822","124714.67","135062.944","157589.325","162110.736","175436.614","175176.257","189107.19","179961.692","187919.082","191633.753","192356.152","189851.591","204024.546","","","","",
"Armenia","ARM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5826.863","2555.899","2706.246","3410.31","2563.233","3234.294","3362.639","3014.274","3465.315","3542.322","3043.61","3428.645","3644.998","4352.729","4382.065","5064.127","5559.172","4360.063","4217.05","4917.447","5694.851","5496.833","5529.836","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kt)","EN.ATM.CO2E.KT","36.67","47.671","102.676","84.341","91.675","150.347","348.365","564.718","990.09","1257.781","462.042","425.372","374.034","330.03","429.039","707.731","403.37","465.709","491.378","407.037","143.013","106.343","293.36","84.341","146.68","249.356","249.356","275.025","286.026","286.026","282.359","267.691","264.024","271.358","267.691","275.025","293.36","308.028","319.029","330.03","344.698","348.365","370.367","403.37","421.705","429.039","443.707","469.376","480.377","509.713","524.381","513.38","524.381","524.381","531.715","","","","",
"Australia","AUS","CO2 emissions (kt)","EN.ATM.CO2E.KT","88202.351","90589.568","94912.961","101029.517","108979.573","120966.996","120332.605","129265.417","134622.904","142257.598","147618.752","152774.554","157486.649","170992.21","172356.334","175883.988","174244.839","187787.07","202015.03","205069.641","220746.066","230360.94","234119.615","225003.453","236594.84","241229.928","239964.813","256106.947","261145.405","277771.583","263704.971","261471.768","267984.36","277397.549","278119.948","281860.288","302164.467","305794.797","316883.805","325343.574","329443.28","324844.862","341353.696","336271.234","342699.485","350172.831","365346.877","372090.49","385904.079","394792.887","390861.863","391818.95","388126.281","372266.506","361261.839","","","","",
"Austria","AUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","30821.135","31862.563","33905.082","36992.696","38943.54","38188.138","39258.902","39966.633","42350.183","44693.396","50692.608","52155.741","56193.108","60164.469","57469.224","54392.611","58415.31","56218.777","57483.892","61594.599","52306.088","56130.769","53868.23","51983.392","54550.292","54700.639","54080.916","57744.249","53340.182","54117.586","57685.577","61605.6","56658.817","57102.524","57054.853","59783.101","63178.743","62658.029","63662.787","61869.624","62283.995","65888.656","67073.097","72195.896","72390.247","74216.413","72162.893","69735.339","69027.608","62731.369","67502.136","65019.577","62272.994","62485.68","58712.337","","","","",
"Azerbaijan","AZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56240.779","48452.071","41976.149","33333.03","31257.508","29809.043","31675.546","28576.931","29508.349","28771.282","29614.692","30615.783","32089.917","34337.788","39167.227","30509.44","35503.894","31902.9","30678.122","33446.707","35555.232","35643.24","37487.741","","","","",
"Burundi","BDI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","44.004","47.671","47.671","36.67","47.671","47.671","55.005","73.34","62.339","73.34","73.34","73.34","91.675","77.007","88.008","99.009","102.676","110.01","146.68","157.681","157.681","205.352","220.02","231.021","234.688","249.356","227.354","267.691","209.019","238.355","216.353","227.354","234.688","238.355","242.022","249.356","249.356","253.023","271.358","205.352","212.686","161.348","198.018","154.014","187.017","187.017","190.684","190.684","212.686","242.022","282.359","289.693","440.04","","","","",
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","91000.272","92793.435","98117.919","105781.949","103662.423","105440.918","105206.23","107472.436","118557.777","123618.237","125620.419","121528.047","130834.893","138872.957","135220.625","122100.099","130009.818","126570.172","135855.016","140233.414","135301.299","124021.607","117553.019","101630.905","105422.583","104472.83","102874.018","103116.04","100354.789","107461.435","106049.64","110959.753","111968.178","107652.119","112334.878","112327.544","118059.065","115341.818","118374.427","114260.053","115118.131","114527.744","107311.088","112914.264","111102.766","108510.197","107072.733","103545.079","104443.494","99863.411","110824.074","99944.085","95107.312","96970.148","93350.819","","","","",
"Benin","BEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","161.348","128.345","135.679","121.011","143.013","150.347","113.677","143.013","154.014","201.685","282.359","293.36","388.702","381.368","407.037","443.707","260.357","297.027","363.033","366.7","517.047","429.039","491.378","454.708","502.379","744.401","685.729","539.049","553.717","630.724","707.731","821.408","898.415","1133.103","1265.115","1327.454","1265.115","1217.444","1213.777","1562.142","1598.812","1815.165","2079.189","2354.214","2508.228","2394.551","3872.352","4495.742","4411.401","4660.757","5089.796","5295.148","5471.164","5812.195","6318.241","","","","",
"Burkina Faso","BFA","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","91.675","84.341","88.008","110.01","102.676","102.676","102.676","102.676","121.011","143.013","150.347","161.348","168.682","205.352","220.02","209.019","249.356","348.365","407.037","432.706","557.384","575.719","594.054","465.709","476.71","480.377","517.047","553.717","821.408","583.053","627.057","630.724","627.057","645.392","627.057","707.731","806.74","861.745","931.418","1041.428","997.424","1004.758","1078.098","1103.767","1125.769","1360.457","1646.483","1917.841","1932.509","1961.845","2211.201","2629.239","3058.278","2849.259","","","","",
"Bangladesh","BGD","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","3509.319","4554.414","4660.757","4869.776","5570.173","5812.195","6017.547","6648.271","7638.361","7931.721","8599.115","8236.082","9123.496","10234.597","11463.042","11862.745","13545.898","13454.223","15533.412","15940.449","17748.28","17407.249","18969.391","22816.074","24029.851","25063.945","24048.186","25236.294","27869.2","32456.617","33707.064","35672.576","37704.094","39478.922","43541.958","44381.701","49511.834","53736.218","59937.115","63413.431","67505.803","69709.67","73189.653","","","","",
"Bulgaria","BGR","CO2 emissions (kt)","EN.ATM.CO2E.KT","22295.36","25973.361","30736.794","34411.128","42863.563","46317.877","48767.433","55166.348","59526.411","66376.367","61238.9","64300.845","66171.015","68825.923","71260.811","73061.308","73116.313","75969.239","81411.067","79152.195","77487.377","80343.97","90131.193","90365.881","87366.275","89540.806","91528.32","91634.663","87289.268","86739.218","74480.437","57549.898","54205.594","67861.502","54161.59","58004.606","56559.808","51616.692","48998.454","43981.998","43530.957","46453.556","44634.724","47307.967","46801.921","47916.689","48991.12","52254.75","50740.279","42665.545","44114.01","49346.819","44708.064","39599.933","42416.189","","","","",
"Bahrain","BHR","CO2 emissions (kt)","EN.ATM.CO2E.KT","575.719","1771.161","1591.478","1195.442","1598.812","1228.445","649.059","1004.758","1103.767","1272.449","2592.569","3039.943","3681.668","5522.502","5405.158","5753.523","6574.931","7469.679","7766.706","8133.406","7887.717","8525.775","9838.561","8228.748","9207.837","10194.26","11012.001","11430.039","12163.439","11738.067","12427.463","11877.413","10901.991","14642.331","14789.011","14818.347","15621.42","17319.241","18404.673","18019.638","18643.028","13927.266","15698.427","16468.497","17509.925","19207.746","18830.045","26846.107","29768.706","28217.565","29266.327","28650.271","26673.758","31312.513","31338.182","","","","",
"Bahamas, The","BHS","CO2 emissions (kt)","EN.ATM.CO2E.KT","410.704","546.383","726.066","707.731","1085.432","1316.453","1092.766","1705.155","1631.815","1745.492","2574.234","6732.612","6490.59","7873.049","7389.005","8254.417","6464.921","9717.55","6607.934","6930.63","7990.393","2801.588","2262.539","2016.85","1855.502","1510.804","1411.795","1422.796","1540.14","1947.177","1950.844","1782.162","1793.163","1701.488","1686.82","1683.153","1668.485","1364.124","1679.486","1675.819","1668.485","1569.476","1576.81","1518.138","1723.49","1741.825","1664.818","1690.487","1496.136","1642.816","1653.817","1866.503","1969.179","2801.588","2416.553","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15053.035","12603.479","3230.627","3428.645","4257.387","8393.763","10593.963","10377.61","13787.92","13362.548","14301.3","14488.317","15610.419","16204.473","17564.93","17652.938","20153.832","20703.882","21275.934","23886.838","22258.69","21921.326","22233.021","","","","",
"Belarus","BLR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87417.613","76768.645","65056.247","60773.191","60164.469","59555.747","58099.948","56112.434","53787.556","52760.796","52405.097","53530.866","58158.62","59167.045","62071.309","60523.835","63105.403","61220.565","63043.064","64062.49","63222.747","63769.13","63497.772","","","","",
"Belize","BLZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","36.67","69.673","62.339","84.341","84.341","80.674","121.011","102.676","135.679","121.011","143.013","157.681","146.68","154.014","176.016","176.016","198.018","216.353","209.019","190.684","183.35","172.349","172.349","172.349","190.684","205.352","227.354","249.356","300.694","311.695","359.366","355.699","377.701","374.034","377.701","308.028","388.702","370.367","348.365","396.036","447.374","432.706","432.706","392.369","421.705","443.707","476.71","436.373","586.72","539.049","601.388","476.71","513.38","495.045","","","","",
"Bermuda","BMU","CO2 emissions (kt)","EN.ATM.CO2E.KT","157.681","176.016","157.681","150.347","201.685","179.683","201.685","212.686","223.687","198.018","227.354","231.021","253.023","425.372","443.707","458.375","469.376","454.708","425.372","462.042","436.373","388.702","396.036","451.041","443.707","451.041","421.705","572.052","645.392","781.071","502.379","539.049","462.042","539.049","531.715","531.715","528.048","524.381","520.714","513.38","517.047","528.048","557.384","561.051","583.053","583.053","652.726","729.733","649.059","476.71","608.722","443.707","476.71","458.375","575.719","","","","",
"Bolivia","BOL","CO2 emissions (kt)","EN.ATM.CO2E.KT","1004.758","1041.428","1100.1","1213.777","1481.468","1510.804","1690.487","1892.172","2178.198","2548.565","2486.226","3061.945","3571.658","3457.981","3516.653","4059.369","4580.083","4481.074","5027.457","4737.764","4668.091","4792.769","4349.062","4290.39","4041.034","4125.375","3777.01","4030.033","4308.725","4994.454","5757.19","6006.546","6655.605","7829.045","8635.785","9849.562","9827.56","10942.328","10989.999","10443.616","11067.006","8621.117","10395.945","11092.675","11114.677","12185.441","15056.702","12332.121","13237.87","13989.605","15203.382","16145.801","18793.375","18918.053","20410.522","","","","",
"Brazil","BRA","CO2 emissions (kt)","EN.ATM.CO2E.KT","46908.264","49203.806","53695.881","55617.389","56735.824","56398.46","64304.512","66193.017","77421.371","84315.331","93761.523","102635.663","114362.729","132463.041","143456.707","151164.741","155154.437","162961.48","176925.416","188322.452","187090.34","171806.284","172176.651","166632.147","168806.678","181248.809","198883.412","207530.198","209363.698","214024.455","208886.988","219330.604","220705.729","230738.641","242154.012","258347.484","284782.887","300547.32","312289.054","320173.104","327983.814","337433.673","332266.87","321621.569","337826.042","347308.904","347668.27","363212.683","387631.236","367147.374","419754.156","439412.943","470028.726","503677.118","529808.16","","","","",
"Barbados","BRB","CO2 emissions (kt)","EN.ATM.CO2E.KT","172.349","194.351","260.357","190.684","179.683","205.352","267.691","337.364","440.04","480.377","429.039","484.044","502.379","480.377","491.378","568.385","531.715","590.387","630.724","601.388","674.728","685.729","645.392","685.729","748.068","847.077","916.75","942.419","946.086","990.09","1074.431","1206.443","979.089","1114.768","748.068","828.742","850.744","902.082","1140.437","1210.11","1188.108","1221.111","1228.445","1268.782","1294.451","1353.123","1371.458","1364.124","1620.814","1617.147","1477.801","1529.139","1470.467","1448.465","1272.449","","","","",
"Brunei Darussalam","BRN","CO2 emissions (kt)","EN.ATM.CO2E.KT","333.697","304.361","370.367","355.699","341.031","333.697","491.378","440.04","429.039","487.711","8210.413","7517.35","9460.86","9981.574","8184.744","7080.977","6024.881","6395.248","9541.534","7440.343","6882.959","1470.467","2093.857","2706.246","1917.841","2596.236","2299.209","3318.635","5716.853","6347.577","6193.563","5309.816","5214.474","4968.785","4693.76","4789.102","4869.776","5060.46","5269.479","3909.022","4712.095","4506.743","4378.398","4591.084","4998.121","5005.455","4862.442","8415.765","9119.829","7862.048","8203.079","9695.548","9666.212","7803.376","9108.828","","","","",
"Bhutan","BTN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","3.667","3.667","3.667","3.667","3.667","3.667","3.667","7.334","11.001","22.002","22.002","25.669","33.003","29.336","51.338","62.339","55.005","102.676","110.01","62.339","128.345","187.017","216.353","183.35","212.686","249.356","300.694","392.369","381.368","385.035","396.036","385.035","418.038","377.701","308.028","396.036","392.369","392.369","421.705","388.702","487.711","733.4","817.741","920.417","1001.091","","","","",
"Botswana","BWA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","22.002","51.338","88.008","187.017","594.054","781.071","832.409","942.419","986.423","1008.425","1100.1","1030.427","1045.095","1158.772","1067.097","1239.446","1301.785","1430.13","2702.579","2636.573","2779.586","3197.624","3032.609","3047.277","2757.584","2801.588","3344.304","3160.954","3780.677","3850.35","3978.695","3828.348","3898.021","4096.039","4136.376","4231.718","4506.743","3762.342","4686.426","4176.713","4231.718","5229.142","7033.306","","","","",
"Central African Republic","CAF","CO2 emissions (kt)","EN.ATM.CO2E.KT","88.008","88.008","73.34","73.34","73.34","88.008","84.341","91.675","183.35","187.017","209.019","183.35","168.682","161.348","113.677","102.676","128.345","128.345","146.68","102.676","106.343","135.679","143.013","146.68","150.347","161.348","161.348","260.357","231.021","249.356","198.018","205.352","216.353","223.687","234.688","234.688","234.688","245.689","249.356","264.024","267.691","245.689","245.689","234.688","234.688","234.688","249.356","253.023","253.023","253.023","264.024","278.692","293.36","297.027","300.694","","","","",
"Canada","CAN","CO2 emissions (kt)","EN.ATM.CO2E.KT","192895.201","194182.318","207185.5","211109.19","237801.283","252153.921","259319.239","281896.958","303539.592","307400.943","341485.708","352607.719","381136.979","381621.023","389970.782","397143.434","399317.965","408151.768","415896.472","442067.851","443233.957","430003.421","414811.04","408687.15","425595.687","422079.034","405053.153","431349.21","456053.789","463274.112","435181.225","426780.128","440978.752","445580.837","456849.528","467637.842","479419.913","495294.356","506533.711","515389.516","534380.909","527926.989","519335.208","553100.944","552198.862","557417.003","543819.767","554355.058","561028.998","536764.459","534670.602","537112.824","517457.704","517160.677","537193.498","","","","",
